,Marital status,Application mode,Course,Daytime/evening attendance,Previous qualification,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
0,single,2nd phase,animation and multimedia design,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Unskilled Workers,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,single,International student (bachelor),tourism,daytime,Finished High School,Finished High School,Other Degree,Intermediate Level Technicians & Professions,Intermediate Level Technicians & Professions,yes,no,no,no,male,no,19,no,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
2,single,1st phase -- general contingent,communication design,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
3,single,2nd phase,journalism and communication,daytime,Finished High School,General commerce course,Elementary School,"Personal Services, Security & Safety Workers",Intermediate Level Technicians & Professions,yes,no,no,yes,female,no,20,no,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
4,married,Over 23 years old,social service (evening),evening,Finished High School,General commerce course,Middle School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,no,45,no,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
5,married,Over 23 years old,management (evening),evening,Some High School,General commerce course,Elementary School,Unskilled Workers,Skilled Industry,no,no,yes,yes,male,no,50,no,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
6,single,1st phase -- general contingent,nursing,daytime,Finished High School,General commerce course,Middle School,Skilled Industry,Armed Forces,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
7,single,3rd phase,tourism,daytime,Finished High School,General commerce course,Elementary School,Unskilled Workers,Unskilled Workers,yes,no,no,no,male,no,22,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
8,single,1st phase -- general contingent,social service,daytime,Finished High School,Finished High School,Finished High School,Unskilled Workers,Unskilled Workers,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
9,single,1st phase -- general contingent,social service,daytime,Finished High School,Finished High School,Some High School,Adminstrative Staff,Skilled Industry,yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
10,single,1st phase -- general contingent,advertising and marketing management,daytime,Finished High School,General commerce course,Some High School,"Personal Services, Security & Safety Workers",Skilled Industry,yes,no,no,yes,female,no,18,no,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate
